,2016-09-0,name_h
0,2134,HCNc-me7o2LzI8jLjZCBww/vLCXdlZFKnrbUv3ohZgadw
0,1484,DAjBaBGxX7Ls5vGDCxMGJg/J-onkJxFYPyboVq-5Nsj_g
0,2008,VUZg24ZmvWWNMJ7GNRhy6Q/2395CLBgq0xwOgLhRmC5dQ
0,1318,qDHkhVI986y3pPtfN1M0Ow/ykxQuQXcIeoXoQVJpvWUTw
0,607,cpF70Rhs46B3HA1YGgsqeg/1JZUZR1-wbeNX8WaS9WeBQ
0,741,0YuGJKD19yHae4I2X8Vi3Q/aCoNrLFHSsBc5DOy5a8Krw
0,67,hcaTInVuAf1KeiLeVeGXQw/o2bP-5oa4bEo6Ks7wZlWTQ
0,815,5ijj7TUiNswVbFIuGqMZBA/aUfyqfsJtlZlMjhROEDMBw
0,858,vyFRgbUUBSITez1Pa3NUSg/5qNUzUem_XbhRiAWe9z9ZA
0,0,PaSB0TP0XR11kL-my7Zlhw/ySKmQcxdwDpJflQJltEhmA
0,507,JsrncYwyGAp6D44Z1tQKWQ/JmoffC4jRRadO8RI2kXq5g
0,569,k0gaQv1wBiMMYOcmsG17Fg/4galTpdpDM5QzIct1w7olg
0,249,TQA9FDXwgnz-GKwtKjl55w/TQA9FDXwgnz-GKwtKjl55w
0,399,tu_WBtEY0PYgZuMUGf8EzA/mPEbeniAFpw71ipaUHs5ZQ
0,375,FJfZi66nh-tqimdhRcRCEg/wI5nZTE32XNegTG2deKf4Q
0,524,fzIsL8eYnmJRAsSqy3FCdQ/fw7y8g1XIqEZA8oQCZVlkg
0,137,FGWccSPGos9cL_aJ4NlzhQ/C_n7gajA_Wxjv8pIMTp2WQ
0,222,LDysWg9WckbQOcXIilou3A/3Zu5ZdDUNyfccFLRW7_J0g
0,87,hcaTInVuAf1KeiLeVeGXQw/RBww6Oe3FUnlX2QLVHHz6g
0,251,Blng3ihygUc9pNhZ8LnvNQ/dWRX3IXxNFCz37osvBRl5Q
0,436,BbYFPEGiEwr9b8OxWL2k5g/BbYFPEGiEwr9b8OxWL2k5g
0,259,PhD4yAkkLToPlMGOet24Zg/PhD4yAkkLToPlMGOet24Zg
0,310,x9BrCoUrzYi11O-5Y-tFzg/2c9v3EnK2YrZcVgb0shFyQ
0,320,0iPhQ5GI5Hg0nVJHZQbCLg/0iPhQ5GI5Hg0nVJHZQbCLg
0,255,K5r7iaaswVdbFZv8o40QrQ/K5r7iaaswVdbFZv8o40QrQ
0,371,4ndRIB0eV1X78Orz13cNzA/VDP7pOcyvTJ6QVHv0Z6EvQ
0,168,pYSQ_zKsHiL6pgHGeRKr0g/hIApcFPSG9t037jGMaC7Ww
0,301,wWFvPIliYj4zlBfmwWpfuQ/lzU3k9B6ERmysw6JRC2SPQ
0,293,ZzJsJeuRRJV81lRhKpJYSQ/vygCs5OEqp4LCkTz_p7hKg
0,125,SnaexRrjR3uqjAdCjdKsyw/ykxQuQXcIeoXoQVJpvWUTw
0,198,W1w5v52dSI9_AE9dwdiOdQ/W1w5v52dSI9_AE9dwdiOdQ
0,216,Co8SWj9B82wFByA6Y83prQ/Co8SWj9B82wFByA6Y83prQ
0,499,DpxDLy2UCqpCSXCub6-T1w/kfH0h8f7doZCs-uY9oO_Xg
0,52,bn3k7j6EMDbB1IIrmXGU0g/bn3k7j6EMDbB1IIrmXGU0g
0,56,hcaTInVuAf1KeiLeVeGXQw/zPV_NOdyJwXEpjgGDUz0Pg
0,0,fXw5RvENaz6by5XAZzoajA/t26Yr5qqaAl5v1plstWhBQ
0,282,d9N5SBjev_3D1rxsVLrRJQ/jgmGi6A4ok4HjAo1NM79gw
0,386,NIP_BY3to9rUH6eSX6strA/NIP_BY3to9rUH6eSX6strA
0,224,ZAyKU3aqEvoVzwITDOI5pg/ZAyKU3aqEvoVzwITDOI5pg
0,115,0YuGJKD19yHae4I2X8Vi3Q/7sNNgEyc5sic_1lr5VXmpA
0,114,eNUWf_hMy7kf1iEc7bRWZw/eNUWf_hMy7kf1iEc7bRWZw
0,112,1e_zrJhEPhOaFWois09KUg/coEuMIc0VdzuLOLR7ibkqw
0,341,dZL6F11u71cR0xGmUWpqnQ/3pue141-Lh3O7_7ngOL5GQ
0,198,HzSzIwjS00yN16-8mEu25Q/jm4Bg5anSfQ2-4naZCnItA
0,128,FLwv66NiwyRmPbV0J8MFyA/0P0HQfP6N_HnEeyBA4OnDg
0,137,cuuO3CBoXGYKpyOY07vvVw/BVxkUDDcpK4GieQs8rgOCA
0,106,AIUHUmITKFeuw3RJacm9OA/IP20VQUJJpi8h1hHkvxRjA
0,193,BTnfkMOqu-ZgkZ47XJnPxQ/EAZmW6fA2GC8n-eZRNvA2g
0,92,C6HULmps_iioIeyT1gO28Q/C6HULmps_iioIeyT1gO28Q
0,73,EMGACp_o5jHmvlTU29YVRA/EMGACp_o5jHmvlTU29YVRA
0,179,XXODJOIYnY6aHDl0009alQ/XXODJOIYnY6aHDl0009alQ
0,374,j_iEz_GAbgQ_fstv49BaiQ/Ng0hTombiLj-VKJgZowvSA
0,74,j2uYOtBogYR6GA8TmJEIkQ/j2uYOtBogYR6GA8TmJEIkQ
0,97,5RG-gnDBaQjdQsZA-i0MDw/sePxsQVYRFljqlu_TSAknA
0,120,zVseSUfjBEdseIzUdPtXmg/zVseSUfjBEdseIzUdPtXmg
0,461,0YuGJKD19yHae4I2X8Vi3Q/0YuGJKD19yHae4I2X8Vi3Q
0,88,NfS5AAovmyBX0Y6B3i6sDw/zrIHcuDJ0kDHXrJrDjer7g
0,55,07DQqtEfCi0mdTaqGKLGiw/UIWogfc1mZMBKZYjqs7rDw
0,81,ujzWHklTzs_2J7FAFYj7Hg/ujzWHklTzs_2J7FAFYj7Hg
0,39,luHDhMF-DHFZD9DYlBqwbA/luHDhMF-DHFZD9DYlBqwbA
0,48,Ka2ESICRmlfleg0P36GReg/e0ZMQrhQVV9tP_LcvUeQkg
0,185,IcwoQJcpVl_BpNLdktsmnw/NNH5H7LlFLhXb6sadaiaaw
0,13,r5yj5MBQHZu4ntUcGUYFXw/-kSDXQ7TPoqjtriWTsd7_Q
0,44,R41If12wAkwOFE7xGmxyfw/Zbcfd3N4AEXvx6UIY8FnJg
0,89,uOBlJV1TJuo88fhbDddk8w/_bdZTnfxrV-7jmyRe2ASzg
0,94,DsYac0bbP0UACqJTTJrmaQ/qUClSLpBvJiPmdUf0C8h3g
0,52,Imd281bX7PWLYLqxKgXTjw/rppy8lEYmC78sTRl-cX0IA
0,77,ZAyKU3aqEvoVzwITDOI5pg/GSeA3o-OYiTSC16GK1WMCw
0,264,yCLBtjhT7Sc7iWh6xQX5-g/YG6vhGxleZFjVBmbRZU-4g
0,78,NFuKG8SKExLAiEqdsYIgRg/aLANoOsw0qzJxXIIpPkhwQ
0,70,8CETI3paX_8D40ye7rRmQA/8CETI3paX_8D40ye7rRmQA
0,82,qA0snRKSt8_DeYiOBL9t5g/qA0snRKSt8_DeYiOBL9t5g
0,66,QUxfX4YH52mKjnTni7xVaw/QUxfX4YH52mKjnTni7xVaw
0,90,2-scMrZv13F95YPZmfieww/1EaArWHXzf8AhyhA34CX6w
0,75,Pjmb5GPd_5XX5wbf3_bxgg/OkO0-IMl2UAiwO-pwvovWg
0,102,eBFucFWghxq0Y6e3xhMCAw/oibp-9_ByN1-f-9NMz-G7Q
0,8,JmQRRFvmzPwsmhI0ZAEv4w/1Ut7onVxovALOO2Sc7l08g
0,43,bc2bYdmyZjhDjq8WxW2_4Q/NpFKJ8YBpZ2La_a0ZKji7A
0,109,2cDlLdFSdNUQQbSJx86grQ/2cDlLdFSdNUQQbSJx86grQ
0,60,NLmaiC8UPeUOo27TLOFLeQ/NLmaiC8UPeUOo27TLOFLeQ
0,81,uzDoVBG1bfQSlnJqtEXcjw/uzDoVBG1bfQSlnJqtEXcjw
0,117,njDCSfHyDCDK0R2GJ41j8w/njDCSfHyDCDK0R2GJ41j8w
0,37,ty5SGIvQecw8NG7Wwu9XtQ/dYzovyCanZPcxwMJysobkw
0,51,jsamuNGdKxtIhw4iyR2RRA/RBj0hf6WzlwkofRrQAywgg
0,95,ZAyKU3aqEvoVzwITDOI5pg/uxqZLw7NdEzhKXLWNFkT3Q
0,37,1l8h1bTyj_W7L5YkzV9wCg/1l8h1bTyj_W7L5YkzV9wCg
0,0,1OClZOKoq1qXeXGRSI6tpA/1OClZOKoq1qXeXGRSI6tpA
0,124,tu_WBtEY0PYgZuMUGf8EzA/VBZhYiGFhRwki0G_DOp60A
0,60,37is50knMYEGDe0PY8L6nw/Hh07dsqkDeOTBXM2Izic0g
0,30,UUy25KWuvkJaoHv-ndlqHg/Ns34uIelz_x43NXAiZG5kw
0,178,7DUui3NYEIX51J0bV19kxw/WIdyFIOpf4nppikgFqdjIQ
0,87,pPi1FENBVMGvJXd7zNDvoA/pPi1FENBVMGvJXd7zNDvoA
0,46,6pmmkGBnWzIHVAa58xDL-Q/6pmmkGBnWzIHVAa58xDL-Q
0,65,PSWsg5RIjKSfFI9LvZ4pBg/wuKFyzPOzb64PSGJ6YOowA
0,13,smXjtubw1FPwWtzDeUxUqw/smXjtubw1FPwWtzDeUxUqw
0,53,vwk3_LBbRg5EegvqdTchig/vwk3_LBbRg5EegvqdTchig
0,47,BElMmws8e8aSfx0RzsJRNw/BElMmws8e8aSfx0RzsJRNw
0,350,ooe8Zd1SJ_a1v9t4svapZA/vhIXQL-YiyIloxP6HxB8oQ
0,31,6Rxz-0WxNs4djew8UA060A/p0rY36zU-YXrOXdRdhXOJQ
0,31,bc2bYdmyZjhDjq8WxW2_4Q/2YGHsvSy2y6aUXpcjzgdPQ
